idAgent,First_Name,Last_Name,Agency,PhoneNumber,Street_Address,City,State,ZipCode
101,Nathan,Jackson,TrumanTime,678-548-8305,128 Salem Road,Conyers,GA,30014
102,Aaron,Zheng,TrumanTime,678-823-1403,128 Salem Road,Conyers,GA,30014
103,Jake,Thaxton,CharleyLand,770-685-7249,76 Maxwell Blvd,Marietta,GA,30008
104,Joo,Young Kang,Srini's Industry,706-842-4123,93 Adder Street,Athens,GA,30609
105,Sallie,May,TrumanTime,678-492-0843,128 Salem Road,Conyers,GA,30014
106,Sandra,Bullard,CharleyLand,770-492-3859,76 Maxwell Blvd,Marietta,GA,30008
107,Kayla,Iverson,CharleyLand,770-357-1284,76 Maxwell Blvd,Marietta,GA,30008
108,Cheryl,Maafoh,CharleyLand,770-538-9846,76 Maxwell Blvd,Marietta,GA,30008
109,Overton,Reed,Srini's Industry,706-843-0541,93 Adder Street,Athens,GA,30609
110,Stephanie,Velez,TrumanTime,678-138-5732,128 Salem Road,Conyers,GA,30014
111,Bernard,Mayweather,Srini's Industry,706-934-2840,93 Adder Street,Athens,GA,30609
112,Jacqueline,Turner,TrumanTime,678-428-4285,128 Salem Road,Conyers,GA,30014
113,Mahazabin,Prova,Srini's Industry,706-283-5528,93 Adder Street,Athens,GA,30609
