idCustomers,First_name,Last_name,DOB,Driving_License_No,Street,City,State,ZipCode,PhoneNumber,Agent_Number
1001,Druci,Jefferson,9/13/1984,88333940,1102 Warner Court,Atlanta,GA,30467,404-373-2754,105
1002,Almeta,Olivera,6/20/1984,497932873,26833 Tennessee Avenue,Savannah,GA,30536,912-332-0467,111
1003,Florinda,Kyne,7/18/1989,561868805,08 Barnett Hill,Atlanta,GA,30162,678-564-3005,107
1004,Francis,Silkstone,3/3/1978,135642829,9787 Merchant Road,Atlanta,GA,30003,404-284-3851,102
1005,Astra,Castree,10/31/1992,382676377,2149 Barnett Plaza,Atlanta,GA,30600,404-661-8750,112
1006,Rowe,Peterkin,1/13/1992,168232225,52 Jackson Hill,Decatur,GA,30085,770-280-3194,108
1007,Ximenez,Watmore,6/15/1998,439878015,16989 Barby Lane,Decatur,GA,30360,770-677-4121,102
1008,Tabatha,Martinat,4/9/1974,97898337,9324 Shelley Terrace,Atlanta,GA,30283,770-466-5794,111
1009,Chantalle,Yeaman,5/10/1989,118990330,85 Meadow Vale Terrace,Atlanta,GA,30278,404-867-6045,108
1010,Annmarie,Gerrish,2/8/1974,213424676,5165 Raven Terrace,Valdosta,GA,30414,229-473-4476,106
1011,Bettina,Knibley,11/28/1997,143507586,21150 Granby Drive,Augusta,GA,30396,706-873-2225,105
1012,Carlin,Poinsett,6/1/1993,188918191,367 Sachs Point,Columbus,GA,30553,706-718-7490,103
1013,Sheila,Handyside,1/22/1970,484902965,19 Heffernan Road,Atlanta,GA,30023,404-910-9834,112
1014,Theodore,Venart,1/30/1972,455474747,80137 Graedel Alley,Columbus,GA,30294,706-304-9473,108
1015,Cyndy,Brandone,1/26/1976,259213182,56981 Lakewood Lane,Atlanta,GA,30219,404-855-1765,101
1016,Sutherland,Folger,7/14/1975,91988528,21067 Chive Place,Atlanta,GA,30596,404-371-8798,113
1017,Marcelia,Ellice,4/25/1998,406214668,7 Upham Circle,Macon,GA,30198,478-398-3345,108
1018,Devonne,Leming,7/14/1976,566815748,27 Johnson Pass,Atlanta,GA,30339,404-560-9811,112
1019,Irvin,Bremmell,6/30/1976,498299337,2 Hoffman Center,Columbus,GA,30603,706-304-2983,110
